SIC Code,SIC Description,NAICS Code,NAICS Description
1623,"Water, Sewer, and Utility Lines",237110,Water and Sewer Line and Related Structures Construction
1629,"Heavy Construction, Nec",237110,Water and Sewer Line and Related Structures Construction
1781,Water Well Drilling,237110,Water and Sewer Line and Related Structures Construction
8741,Management Services,237110,Water and Sewer Line and Related Structures Construction
1389,"Oil and Gas Field Services, Nec",237120,Oil and Gas Pipeline and Related Structures Construction
1623,"Water, Sewer, and Utility Lines",237120,Oil and Gas Pipeline and Related Structures Construction
1629,"Heavy Construction, Nec",237120,Oil and Gas Pipeline and Related Structures Construction
8741,Management Services,237120,Oil and Gas Pipeline and Related Structures Construction
1623,"Water, Sewer, and Utility Lines",237130,Power and Communication Line and Related Structures Construction
1629,"Heavy Construction, Nec",237130,Power and Communication Line and Related Structures Construction
8741,Management Services,237130,Power and Communication Line and Related Structures Construction
6552,"Subdividers and Developers, Nec",237210,Land Subdivision
1611,Highway and Street Construction,237310,"Highway, Street, and Bridge Construction"
1622,"Bridge, Tunnel, and Elevated Highway",237310,"Highway, Street, and Bridge Construction"
1721,Painting and Paper Hanging,237310,"Highway, Street, and Bridge Construction"
8741,Management Services,237310,"Highway, Street, and Bridge Construction"
1622,"Bridge, Tunnel, and Elevated Highway",237990,Other Heavy and Civil Engineering Construction
1629,"Heavy Construction, Nec",237990,Other Heavy and Civil Engineering Construction
1799,"Special Trade Contractors, Nec",237990,Other Heavy and Civil Engineering Construction
8741,Management Services,237990,Other Heavy and Civil Engineering Construction
1771,Concrete Work,238110,Poured Concrete Foundation and Structure Contractors
1791,Structural Steel Erection,238120,Structural Steel and Precast Concrete Contractors
1751,Carpentry Work,238130,Framing Contractors
1741,Masonry and Other Stonework,238140,Masonry Contractors
1771,Concrete Work,238140,Masonry Contractors
1793,Glass and Glazing Work,238150,Glass and Glazing Contractors
1799,"Special Trade Contractors, Nec",238150,Glass and Glazing Contractors
1761,"Roofing, Siding, and Sheetmetal Work",238160,Roofing Contractors
1761,"Roofing, Siding, and Sheetmetal Work",238170,Siding Contractors
1791,Structural Steel Erection,238190,"Other Foundation, Structure, and Building Exterior Contractors"
1799,"Special Trade Contractors, Nec",238190,"Other Foundation, Structure, and Building Exterior Contractors"
1711,"Plumbing, Heating, Air-conditioning",238210,Electrical Contractors and Other Wiring Installation Contractors
1731,Electrical Work,238210,Electrical Contractors and Other Wiring Installation Contractors
1711,"Plumbing, Heating, Air-conditioning",238220,"Plumbing, Heating, and Air-Conditioning Contractors"
1791,Structural Steel Erection,238220,"Plumbing, Heating, and Air-Conditioning Contractors"
1796,Installing Building Equipment,238220,"Plumbing, Heating, and Air-Conditioning Contractors"
7699,"Repair Services, Nec",238220,"Plumbing, Heating, and Air-Conditioning Contractors"
1796,Installing Building Equipment,238290,Other Building Equipment Contractors
1799,"Special Trade Contractors, Nec",238290,Other Building Equipment Contractors
7622,Radio and Television Repair,238290,Other Building Equipment Contractors
1742,"Plastering, Drywall, and Insulation",238310,Drywall and Insulation Contractors
1743,"Terrazzo, Tile, Marble, Mosaic Work",238310,Drywall and Insulation Contractors
1752,"Floor Laying and Floor Work, Nec",238310,Drywall and Insulation Contractors
1791,Structural Steel Erection,238310,Drywall and Insulation Contractors
1799,"Special Trade Contractors, Nec",238310,Drywall and Insulation Contractors
1721,Painting and Paper Hanging,238320,Painting and Wall Covering Contractors
1799,"Special Trade Contractors, Nec",238320,Painting and Wall Covering Contractors
1752,"Floor Laying and Floor Work, Nec",238330,Flooring Contractors
1743,"Terrazzo, Tile, Marble, Mosaic Work",238340,Tile and Terrazzo Contractors
1751,Carpentry Work,238350,Finish Carpentry Contractors
1799,"Special Trade Contractors, Nec",238350,Finish Carpentry Contractors
1761,"Roofing, Siding, and Sheetmetal Work",238390,Other Building Finishing Contractors
1799,"Special Trade Contractors, Nec",238390,Other Building Finishing Contractors
1081,Metal Mining Services,238910,Site Preparation Contractors
1241,Coal Mining Services,238910,Site Preparation Contractors
1389,"Oil and Gas Field Services, Nec",238910,Site Preparation Contractors
1481,Nonmetallic Mineral Services,238910,Site Preparation Contractors
1629,"Heavy Construction, Nec",238910,Site Preparation Contractors
1711,"Plumbing, Heating, Air-conditioning",238910,Site Preparation Contractors
1794,Excavation Work,238910,Site Preparation Contractors
1795,Wrecking and Demolition Work,238910,Site Preparation Contractors
1799,"Special Trade Contractors, Nec",238910,Site Preparation Contractors
7353,Heavy Construction Equipment Rental,238910,Site Preparation Contractors
1771,Concrete Work,238990,All Other Specialty Trade Contractors
1799,"Special Trade Contractors, Nec",238990,All Other Specialty Trade Contractors
7353,Heavy Construction Equipment Rental,238990,All Other Specialty Trade Contractors
2047,Dog and Cat Food,311111,Dog and Cat Food Manufacturing
723,Crop Preparation Services For Market,311119,Other Animal Food Manufacturing
2048,"Prepared Feeds, Nec",311119,Other Animal Food Manufacturing
2034,"Dehydrated Fruits, Vegetables, Soups",311211,Flour Milling
2041,Flour and Other Grain Mill Products,311211,Flour Milling
2044,Rice Milling,311212,Rice Milling
2099,"Food Preparations, Nec",311212,Rice Milling
2083,Malt,311213,Malt Manufacturing
2046,Wet Corn Milling,311221,Wet Corn Milling
2074,Cottonseed Oil Mills,311224,Soybean and Other Oilseed Processing
2075,Soybean Oil Mills,311224,Soybean and Other Oilseed Processing
2076,"Vegetable Oil Mills, Nec",311224,Soybean and Other Oilseed Processing
2079,Edible Fats and Oils,311224,Soybean and Other Oilseed Processing
2079,Edible Fats and Oils,311224,Soybean and Other Oilseed Processing
2046,Wet Corn Milling,311225,Fats and Oils Refining and Blending
2074,Cottonseed Oil Mills,311225,Fats and Oils Refining and Blending
2075,Soybean Oil Mills,311225,Fats and Oils Refining and Blending
2076,"Vegetable Oil Mills, Nec",311225,Fats and Oils Refining and Blending
2079,Edible Fats and Oils,311225,Fats and Oils Refining and Blending
2043,Cereal Breakfast Foods,311230,Breakfast Cereal Manufacturing
2063,Beet Sugar,311313,Beet Sugar Manufacturing
2061,Raw Cane Sugar,311314,Cane Sugar Manufacturing
2062,Cane Sugar Refining,311314,Cane Sugar Manufacturing
2064,Candy and Other Confectionery Products,311340,Nonchocolate Confectionery Manufacturing
2067,Chewing Gum,311340,Nonchocolate Confectionery Manufacturing
2099,"Food Preparations, Nec",311340,Nonchocolate Confectionery Manufacturing
5441,"Candy, Nut, and Confectionery Stores",311340,Nonchocolate Confectionery Manufacturing
2066,Chocolate and Cocoa Products,311351,Chocolate and Confectionery Manufacturing from Cacao Beans
2064,Candy and Other Confectionery Products,311352,Confectionery Manufacturing from Purchased Chocolate
2066,Chocolate and Cocoa Products,311352,Confectionery Manufacturing from Purchased Chocolate
5441,"Candy, Nut, and Confectionery Stores",311352,Confectionery Manufacturing from Purchased Chocolate
2037,Frozen Fruits and Vegetables,311411,"Frozen Fruit, Juice, and Vegetable Manufacturing"
2038,"Frozen Specialties, Nec",311412,Frozen Specialty Food Manufacturing
2033,Canned Fruits and Specialties,311421,Fruit and Vegetable Canning
2035,"Pickles, Sauces, and Salad Dressings",311421,Fruit and Vegetable Canning
2032,Canned Specialties,311422,Specialty Canning
2034,"Dehydrated Fruits, Vegetables, Soups",311423,Dried and Dehydrated Food Manufacturing
2099,"Food Preparations, Nec",311423,Dried and Dehydrated Food Manufacturing
2023,"Dry, Condensed, Evaporated Products",311511,Fluid Milk Manufacturing
2026,Fluid Milk,311511,Fluid Milk Manufacturing
2021,Creamery Butter,311512,Creamery Butter Manufacturing
2022,Cheese; Natural and Processed,311513,Cheese Manufacturing
2023,"Dry, Condensed, Evaporated Products",311514,"Dry, Condensed, and Evaporated Dairy Product Manufacturing"
2026,Fluid Milk,311514,"Dry, Condensed, and Evaporated Dairy Product Manufacturing"
2024,Ice Cream and Frozen Desserts,311520,Ice Cream and Frozen Dessert Manufacturing
751,"Livestock Services, Except Veterinary",311611,Animal (except Poultry) Slaughtering
2011,Meat Packing Plants,311611,Animal (except Poultry) Slaughtering
2048,"Prepared Feeds, Nec",311611,Animal (except Poultry) Slaughtering
2013,Sausages and Other Prepared Meats,311612,Meat Processed from Carcasses
5147,Meats and Meat Products,311612,Meat Processed from Carcasses
2013,Sausages and Other Prepared Meats,311613,Rendering and Meat Byproduct Processing
2077,Animal and Marine Fats and Oils,311613,Rendering and Meat Byproduct Processing
2015,Poultry Slaughtering and Processing,311615,Poultry Processing
2077,Animal and Marine Fats and Oils,311710,Seafood Product Preparation and Packaging
2077,Animal and Marine Fats and Oils,311710,Seafood Product Preparation and Packaging
2091,Canned and Cured Fish and Seafoods,311710,Seafood Product Preparation and Packaging
2092,Fresh or Frozen Packaged Fish,311710,Seafood Product Preparation and Packaging
5461,Retail Bakeries,311811,Retail Bakeries
2051,"Bread, Cake, and Related Products",311812,Commercial Bakeries
2052,Cookies and Crackers,311812,Commercial Bakeries
2053,"Frozen Bakery Products, Except Bread",311813,"Frozen Cakes, Pies, and Other Pastries Manufacturing"
2052,Cookies and Crackers,311821,Cookie and Cracker Manufacturing
2045,Prepared Flour Mixes and Doughs,311824,"Dry Pasta, Dough, and Flour Mixes Manufacturing from Purchased Flour"
2098,Macaroni and Spaghetti,311824,"Dry Pasta, Dough, and Flour Mixes Manufacturing from Purchased Flour"
2099,"Food Preparations, Nec",311824,"Dry Pasta, Dough, and Flour Mixes Manufacturing from Purchased Flour"
2099,"Food Preparations, Nec",311830,Tortilla Manufacturing
2068,Salted and Roasted Nuts and Seeds,311911,Roasted Nuts and Peanut Butter Manufacturing
2099,"Food Preparations, Nec",311911,Roasted Nuts and Peanut Butter Manufacturing
2052,Cookies and Crackers,311919,Other Snack Food Manufacturing
2096,Potato Chips and Similar Snacks,311919,Other Snack Food Manufacturing
2043,Cereal Breakfast Foods,311920,Coffee and Tea Manufacturing
2087,"Flavoring Extracts and Syrups, Nec",311920,Coffee and Tea Manufacturing
2095,Roasted Coffee,311920,Coffee and Tea Manufacturing
2099,"Food Preparations, Nec",311920,Coffee and Tea Manufacturing
2087,"Flavoring Extracts and Syrups, Nec",311930,Flavoring Syrup and Concentrate Manufacturing
2035,"Pickles, Sauces, and Salad Dressings",311941,"Mayonnaise, Dressing, and Other Prepared Sauce Manufacturing"
2099,"Food Preparations, Nec",311941,"Mayonnaise, Dressing, and Other Prepared Sauce Manufacturing"
2082,Malt Beverages,311942,Spice and Extract Manufacturing
2087,"Flavoring Extracts and Syrups, Nec",311942,Spice and Extract Manufacturing
2099,"Food Preparations, Nec",311942,Spice and Extract Manufacturing
2899,"Chemical Preparations, Nec",311942,Spice and Extract Manufacturing
2099,"Food Preparations, Nec",311991,Perishable Prepared Food Manufacturing
2015,Poultry Slaughtering and Processing,311999,All Other Miscellaneous Food Manufacturing
2032,Canned Specialties,311999,All Other Miscellaneous Food Manufacturing
2034,"Dehydrated Fruits, Vegetables, Soups",311999,All Other Miscellaneous Food Manufacturing
2087,"Flavoring Extracts and Syrups, Nec",311999,All Other Miscellaneous Food Manufacturing
2099,"Food Preparations, Nec",311999,All Other Miscellaneous Food Manufacturing
2086,Bottled and Canned Soft Drinks,312111,Soft Drink Manufacturing
2086,Bottled and Canned Soft Drinks,312112,Bottled Water Manufacturing
5149,"Groceries and Related Products, Nec",312112,Bottled Water Manufacturing
2097,Manufactured Ice,312113,Ice Manufacturing
2082,Malt Beverages,312120,Breweries
2084,"Wines, Brandy, and Brandy Spirits",312130,Wineries
2085,Distilled and Blended Liquors,312130,Wineries
2085,Distilled and Blended Liquors,312140,Distilleries
2111,Cigarettes,312230,Tobacco Manufacturing
2121,Cigars,312230,Tobacco Manufacturing
2131,Chewing and Smoking Tobacco,312230,Tobacco Manufacturing
2141,Tobacco Stemming and Redrying,312230,Tobacco Manufacturing
2141,Tobacco Stemming and Redrying,312230,Tobacco Manufacturing
7389,"Business Services, Nec",312230,Tobacco Manufacturing
2281,Yarn Spinning Mills,313110,"Fiber, Yarn, and Thread Mills"
2282,Throwing and Winding Mills,313110,"Fiber, Yarn, and Thread Mills"
2284,Thread Mills,313110,"Fiber, Yarn, and Thread Mills"
2298,Cordage and Twine,313110,"Fiber, Yarn, and Thread Mills"
2299,"Textile Goods, Nec",313110,"Fiber, Yarn, and Thread Mills"
2299,"Textile Goods, Nec",313110,"Fiber, Yarn, and Thread Mills"
2299,"Textile Goods, Nec",313110,"Fiber, Yarn, and Thread Mills"
2211,"Broadwoven Fabric Mills, Cotton",313210,Broadwoven Fabric Mills
2221,"Broadwoven Fabric Mills, Manmade",313210,Broadwoven Fabric Mills
2231,"Broadwoven Fabric Mills, Wool",313210,Broadwoven Fabric Mills
2299,"Textile Goods, Nec",313210,Broadwoven Fabric Mills
2241,Narrow Fabric Mills,313220,Narrow Fabric Mills and Schiffli Machine Embroidery
2299,"Textile Goods, Nec",313220,Narrow Fabric Mills and Schiffli Machine Embroidery
2397,Schiffli Machine Embroideries,313220,Narrow Fabric Mills and Schiffli Machine Embroidery
2297,Nonwoven Fabrics,313230,Nonwoven Fabric Mills
2299,"Textile Goods, Nec",313230,Nonwoven Fabric Mills
2257,Weft Knit Fabric Mills,313240,Knit Fabric Mills
2258,Lace and Warp Knit Fabric Mills,313240,Knit Fabric Mills
2259,"Knitting Mills, Nec",313240,Knit Fabric Mills
2259,"Knitting Mills, Nec",313240,Knit Fabric Mills
2231,"Broadwoven Fabric Mills, Wool",313310,Textile and Fabric Finishing Mills
2231,"Broadwoven Fabric Mills, Wool",313310,Textile and Fabric Finishing Mills
2251,"Women's Hosiery, Except Socks",313310,Textile and Fabric Finishing Mills
2252,"Hosiery, Nec",313310,Textile and Fabric Finishing Mills
2253,Knit Outerwear Mills,313310,Textile and Fabric Finishing Mills
2254,Knit Underwear Mills,313310,Textile and Fabric Finishing Mills
2257,Weft Knit Fabric Mills,313310,Textile and Fabric Finishing Mills
2258,Lace and Warp Knit Fabric Mills,313310,Textile and Fabric Finishing Mills
2259,"Knitting Mills, Nec",313310,Textile and Fabric Finishing Mills
2261,"Finishing Plants, Cotton",313310,Textile and Fabric Finishing Mills
2262,"Finishing Plants, Manmade",313310,Textile and Fabric Finishing Mills
2269,"Finishing Plants, Nec",313310,Textile and Fabric Finishing Mills
2269,"Finishing Plants, Nec",313310,Textile and Fabric Finishing Mills
2284,Thread Mills,313310,Textile and Fabric Finishing Mills
2299,"Textile Goods, Nec",313310,Textile and Fabric Finishing Mills
5131,Piece Goods and Notions,313310,Textile and Fabric Finishing Mills
5131,Piece Goods and Notions,313310,Textile and Fabric Finishing Mills
7389,"Business Services, Nec",313310,Textile and Fabric Finishing Mills
2295,"Coated Fabrics, Not Rubberized",313320,Fabric Coating Mills
3069,"Fabricated Rubber Products, Nec",313320,Fabric Coating Mills
2273,Carpets and Rugs,314110,Carpet and Rug Mills
2391,Curtains and Draperies,314120,Curtain and Linen Mills
2392,"Household Furnishings, Nec",314120,Curtain and Linen Mills
5714,Drapery and Upholstery Stores,314120,Curtain and Linen Mills
5714,Drapery and Upholstery Stores,314120,Curtain and Linen Mills
2392,"Household Furnishings, Nec",314910,Textile Bag and Canvas Mills
2393,Textile Bags,314910,Textile Bag and Canvas Mills
2394,Canvas and Related Products,314910,Textile Bag and Canvas Mills
3069,"Fabricated Rubber Products, Nec",314910,Textile Bag and Canvas Mills
2296,Tire Cord and Fabrics,314994,"Rope, Cordage, Twine, Tire Cord, and Tire Fabric Mills"
2298,Cordage and Twine,314994,"Rope, Cordage, Twine, Tire Cord, and Tire Fabric Mills"
2299,"Textile Goods, Nec",314999,All Other Miscellaneous Textile Product Mills
2311,Men's and Boy's Suits and Coats,314999,All Other Miscellaneous Textile Product Mills
2321,Men's and Boy's Furnishings,314999,All Other Miscellaneous Textile Product Mills
2322,Men's and Boy's Underwear and Nightwear,314999,All Other Miscellaneous Textile Product Mills
2323,Men's and Boy's Neckwear,314999,All Other Miscellaneous Textile Product Mills
2325,Men's and Boy's Trousers and Slacks,314999,All Other Miscellaneous Textile Product Mills
2326,Men's and Boy's Work Clothing,314999,All Other Miscellaneous Textile Product Mills
2329,"Men's and Boy's Clothing, Nec",314999,All Other Miscellaneous Textile Product Mills
2331,Women's and Misses' Blouses and Shirts,314999,All Other Miscellaneous Textile Product Mills
2335,"Women's, Junior's, and Misses' Dresses",314999,All Other Miscellaneous Textile Product Mills
2337,Women's and Misses' Suits and Coats,314999,All Other Miscellaneous Textile Product Mills
2339,"Women's and Misses' Outerwear, Nec",314999,All Other Miscellaneous Textile Product Mills
