Code,Cross-Reference
111199,"Growing a combination of grain(s) and oilseed(s) with no one grain (or family of grains) or oilseed (or family of oilseeds) accounting for one-half of the establishment's agricultural production (value of crops for market)--are classified in U.S. Industry 111191, Oilseed and Grain Combination Farming."
11121,"Growing sugar beets--are classified in Industry 11199, All Other Crop Farming;"
11121,"Growing vegetables and melons under glass or protective cover--are classified in Industry 11141, Food Crops Grown Under Cover;"
11121,"Growing dry peas and beans--are classified in Industry 11113, Dry Pea and Bean Farming;"
11121,"Growing corn (except sweet corn)--are classified in Industry 11115, Corn Farming;"
11121,"Canning, pickling, and/or drying (artificially) vegetables--are classified in Industry 31142, Fruit and Vegetable Canning, Pickling, and Drying; and"
11121,"Growing fruit on trees and other fruit-bearing plants (except melons)--are classified in Industry Group 1113, Fruit and Tree Nut Farming."
111211,"Establishments primarily engaged in canning or drying potatoes are classified in Industry 31142, Fruit and Vegetable Canning, Pickling, and Drying."
111219,"Growing potatoes, including sweet potatoes and yams--are classified in U.S. Industry 111211, Potato Farming;"
111219,"Growing sugar beets--are classified in U.S. Industry 111991, Sugar Beet Farming;"
111219,"Growing vegetables and melons under glass or protective cover--are classified in U.S. Industry 111419, Other Food Crops Grown Under Cover;"
111219,"Growing dry peas and beans--are classified in Industry 111130, Dry Pea and Bean Farming;"
111219,"Growing corn (except sweet corn)--are classified in Industry 111150, Corn Farming;"
111219,"Canning, pickling, and/or drying (artificially) vegetables--are classified in Industry 31142, Fruit and Vegetable Canning, Pickling, and Drying; and"
111219,"Growing fruit on trees and other fruit-bearing plants (except melons)--are classified in Industry Group 1113, Fruit and Tree Nut Farming."
111320,"Establishments primarily engaged in growing oranges are classified in Industry 111310, Orange Groves."
11133,"Harvesting berries or nuts from native and non-cultivated plants--are classified in Industry 11321, Forest Nurseries and Gathering of Forest Products; and"
11133,"Canning and/or drying (artificially) fruit--are classified in Industry 31142, Fruit and Vegetable Canning, Pickling, and Drying."
111331,"Establishments engaged in growing apples in combination with tree nut(s) with the apples or family of tree nuts not accounting for one-half of the establishment's agricultural production (i.e., value of crops for market) are classified in U.S. Industry 111336, Fruit and Tree Nut Combination Farming."
111332,"Drying grapes artificially--are classified in U.S. Industry 311423, Dried and Dehydrated Food Manufacturing; and"
111332,"Growing grapes in combination with tree nut(s) with the grapes or family of tree nuts not accounting for one-half of the establishment's agricultural production (i.e., value of crops for market)--are classified in U.S. Industry 111336, Fruit and Tree Nut Combination Farming."
111333,"Establishments engaged in growing strawberries in combination with tree nut(s) with the strawberries or family of tree nuts not accounting for one-half of the establishment's agricultural production (i.e., value of crops for market) are classified in U.S. Industry 111336, Fruit and Tree Nut Combination Farming."
111334,"Growing strawberries--are classified in U.S. Industry 111333, Strawberry Farming;"
111334,"Harvesting berries from native and non-cultivated bushes or vines--are classified in Industry 113210, Forest Nurseries and Gathering of Forest Products; and"
111334,"Growing berries in combination with tree nut(s) with the berries or family of tree nuts not accounting for one-half of the establishment's agricultural production (i.e., value of crops for market)--are classified in U.S. Industry 111336, Fruit and Tree Nut Combination Farming."
111335,"Growing coconut and coffee--are classified in U.S. Industry 111339, Other Noncitrus Fruit Farming; and"
111335,"Growing tree nut(s) in combination with fruit(s) with no one fruit (or family of fruit or of tree nuts) accounting for one-half of the establishment's agricultural production (i.e., value of crops for market)--are classified in U.S. Industry 111336, Fruit and Tree Nut Combination Farming."
111336,"Establishments engaged in growing fruit(s) or the family of tree nut(s) accounting for one-half of the establishment's agricultural production (i.e., value of crops for market) are classified in Industry Group 1113, Fruit and Tree Nut Farming, accordingly by the prominent fruit(s) or tree nut(s) grown."
111339,"Growing apples--are classified in U.S. Industry 111331, Apple Orchards;"
111339,"Growing grapes including sun drying of grapes into raisins--are classified in U.S. Industry 111332, Grape Vineyards;"
111339,"Growing strawberries--are classified in U.S. Industry 111333, Strawberry Farming;"
111339,"Growing berries (except strawberries)--are classified in U.S. Industry 111334, Berry (except Strawberry) Farming;"
111339,"Drying fruit artificially--are classified in U.S. Industry 311423, Dried and Dehydrated Food Manufacturing; and"
111339,"Growing noncitrus fruit(s) in combination with tree nut(s) with no one fruit (or family of fruits) or family of tree nuts accounting for one-half of the establishment's agricultural production (i.e., value of crops for market)--are classified in U.S. Industry 111336, Fruit and Tree Nut Combination Farming."
11141,"Establishments primarily engaged in growing vegetable and melon bedding plants are classified in Industry 11121, Vegetable and Melon Farming."
111419,"Establishments primarily engaged in growing mushrooms under cover are classified in U.S. Industry 111411, Mushroom Production."
11142,"Growing vegetable and melon bedding plants--are classified in Industry 11121, Vegetable and Melon Farming;"
11142,"Operating timber tracts (i.e., growing cycle greater than 10 years)--are classified in Industry 11311, Timber Tract Operations; and"
11142,"Retailing nursery, tree stock, and floriculture products primarily purchased from others--are classified in Industry 44422, Nursery, Garden Center, and Farm Supply Stores."
111421,"Growing vegetable and melon bedding plants--are classified in Industry 11121, Vegetable and Melon Farming;"
111421,"Operating timber tracts (i.e., growing cycle greater than 10 years)--are classified in Industry 113110, Timber Tract Operations; and"
111421,"Retailing nursery, tree stock, and floriculture products primarily purchased from others--are classified in Industry 444220, Nursery, Garden Center, and Farm Supply Stores."
111422,"Establishments primarily engaged in retailing floriculture products primarily purchased from others are classified in Industry 444220, Nursery, Garden Center, and Farm Supply Stores."
111920,"Establishments primarily engaged in ginning cotton are classified in U.S. Industry 115111, Cotton Ginning."
111940,"Growing grain hay--are classified in Industry Group 1111, Oilseed and Grain Farming; and"
111940,"Growing grass and hay seeds--are classified in U.S. Industry 111998, All Other Miscellaneous Crop Farming."
11199,"Growing oilseeds and/or wheat, corn, rice, or other grains--are classified in Industry Group 1111, Oilseed and Grain Farming;"
11199,"Growing vegetables and/or melons--are classified in Industry Group 1112, Vegetable and Melon Farming;"
11199,"Growing fruits and/or tree nuts--are classified in Industry Group 1113, Fruit and Tree Nut Farming;"
11199,"Growing greenhouse, nursery, and/or floriculture products--are classified in Industry Group 1114, Greenhouse, Nursery, and Floriculture Production;"
11199,"Growing tobacco--are classified in Industry 11191, Tobacco Farming;"
11199,"Growing cotton--are classified in Industry 11192, Cotton Farming;"
11199,"Growing sugarcane--are classified in Industry 11193, Sugarcane Farming;"
11199,"Growing hay--are classified in Industry 11194, Hay Farming; and"
11199,"Growing algae, seaweed, or other aquatic plants--are classified in Industry 11251, Aquaculture."
111991,"Establishments primarily engaged in growing beets (except sugar beets) are classified in U.S. Industry 111219, Other Vegetable (except Potato) and Melon Farming."
111998,"Growing oilseeds and/or wheat, corn, rice, or other grains--are classified in Industry Group 1111, Oilseed and Grain Farming;"
111998,"Growing vegetables and/or melons--are classified in Industry Group 1112, Vegetable and Melon Farming;"
111998,"Growing fruits and/or tree nuts--are classified in Industry Group 1113, Fruit and Tree Nut Farming;"
111998,"Growing greenhouse, nursery, and/or floriculture products--are classified in Industry Group 1114, Greenhouse, Nursery, and Floriculture Production;"
111998,"Growing tobacco--are classified in Industry 111910, Tobacco Farming;"
111998,"Growing cotton--are classified in Industry 111920, Cotton Farming;"
111998,"Growing sugarcane--are classified in Industry 111930, Sugarcane Farming;"
111998,"Growing hay--are classified in Industry 111940, Hay Farming;"
111998,"Growing sugar beets--are classified in U.S. Industry 111991, Sugar Beet Farming;"
111998,"Growing peanuts--are classified in U.S. Industry 111992, Peanut Farming; and"
111998,"Growing algae, seaweed, or other aquatic plants--are classified in U.S. Industry 112519, Other Aquaculture."
11211,"Milking dairy cattle--are classified in Industry 11212, Dairy Cattle and Milk Production; and"
11211,"Operating stockyards for transportation and not buying, selling, or auctioning livestock--are classified in Industry 48899, Other Support Activities for Transportation."
112111,"Establishments primarily engaged in milking dairy cattle are classified in Industry 112120, Dairy Cattle and Milk Production."
112112,"Establishments primarily engaged in operating stockyards for transportation and not buying, selling, or auctioning livestock are classified in U.S. Industry 488999, All Other Support Activities for Transportation."
112120,"Raising dairy herd replacements--are classified in U.S. Industry 112111, Beef Cattle Ranching and Farming; and"
112120,"Milking goats--are classified in Industry 112420, Goat Farming."
112130,"Milking dairy cattle--are classified in Industry 112120, Dairy Cattle and Milk Production;"
112130,"Raising cattle or feeding cattle for fattening--are classified in Industry 11211, Beef Cattle Ranching and Farming, including Feedlots; and"
112130,"Operating stockyards for transportation and not buying, selling, or auctioning livestock--are classified in U.S. Industry 488999, All Other Support Activities for Transportation."
112210,"Establishments primarily engaged in operating stockyards for transportation and not buying, selling, or auctioning livestock are classified in U.S. Industry 488999, All Other Support Activities for Transportation."
112310,"Establishments primarily engaged in raising chickens for the production of meat are classified in Industry 112320, Broilers and Other Meat Type Chicken Production."
112320,"Establishments primarily engaged in raising chickens for egg production are classified in Industry 112310, Chicken Egg Production."
112390,"Raising aviary birds, such as parakeets, canaries, and love birds--are classified in Industry 112990, All Other Animal Production;"
112390,"Raising chickens for egg production--are classified in Industry 112310, Chicken Egg Production;"
112390,"Raising broilers and other meat type chickens--are classified in Industry 112320, Broilers and Other Meat Type Chicken Production;"
112390,"Raising turkeys--are classified in Industry 112330, Turkey Production; and"
112390,"Raising swans, peacocks, flamingos or other ""adornment birds""--are classified in Industry 112990, All Other Animal Production."
112410,"Establishments primarily engaged in operating stockyards for transportation and not buying, selling, or auctioning livestock are classified in U.S. Industry 488999, All Other Support Activities for Transportation."
11251,"Establishments primarily engaged in the catching or taking of fish and other aquatic animals from their natural habitat are classified in Industry 11411, Fishing."
112511,"Establishments primarily engaged in the catching or taking of finfish from their natural habitat are classified in U.S. Industry 114111, Finfish Fishing."
112512,"Establishments primarily engaged in the catching or taking of shellfish from their natural habitat are classified in U.S. Industry 114112, Shellfish Fishing."
112519,"Miscellaneous fishing activities, such as catching or taking of terrapins, turtles, and frogs from their natural habitat--are classified in U.S. Industry 114119, Other Marine Fishing;"
112519,"Farm raising finfish--are classified in U.S. Industry 112511, Finfish Farming and Fish Hatcheries;"
112519,"Farm raising shellfish--are classified in U.S. Industry 112512, Shellfish Farming; and"
112519,"Growing hydroponic crops--are classified in U.S. Industry 111419, Other Food Crops Grown Under Cover."
112920,"Establishments primarily engaged in equine boarding are classified in Industry 115210, Support Activities for Animal Production; and"
112920,"Equine owners entering horses in racing or other spectator sporting events are classified in U.S. Industry 711219, Other Spectator Sports."
112930,"Establishments primarily engaged in the trapping or hunting of wild fur-bearing animals are classified in Industry 114210, Hunting and Trapping."
112990,"Raising cattle, dairy cattle, or feeding cattle for fattening--are classified in Industry Group 1121, Cattle Ranching and Farming;"
112990,"Raising hogs and pigs--are classified in Industry Group 1122, Hog and Pig Farming;"
112990,"Raising poultry and raising poultry for egg production--are classified in Industry Group 1123, Poultry and Egg Production;"
112990,"Raising sheep and goats--are classified in Industry Group 1124, Sheep and Goat Farming;"
112990,"Animal aquaculture--are classified in Industry 11251, Aquaculture;"
112990,"Raising bees--are classified in Industry 112910, Apiculture;"
112990,"Raising horses and other equines--are classified in Industry 112920, Horses and Other Equine Production; and"
112990,"Raising fur-bearing animals including rabbits--are classified in Industry 112930, Fur-Bearing Animal and Rabbit Production."
113110,"Acting as lessors of land with trees as real estate property--are classified in Industry 531190, Lessors of Other Real Estate Property;"
113110,"Growing short rotation woody trees (i.e., growing and harvesting cycle is 10 years or less)--are classified in U.S. Industry 111421, Nursery and Tree Production; and"
113110,"Cutting timber--are classified in Industry 113310, Logging."
113210,"Gathering tea and maple sap--are classified in U.S. Industry 111998, All Other Miscellaneous Crop Farming; and"
113210,"Processing maple syrup into other products--are classified in Industry 31199, All Other Food Manufacturing."
113310,"Trucking timber without cutting timber--are classified in Industry 484220, Specialized Freight (except Used Goods) Trucking, Local; and"
113310,"Producing wood chips in sawmills--are classified in U.S. Industry 321113, Sawmills."
11411,"Farm raising finfish, shellfish or other marine animals and plants--are classified in Industry 11251, Aquaculture; and"
11411,"Gathering and processing seafood into canned seafood products--are classified in Industry 31171, Seafood Product Preparation and Packaging."
114111,"Farm raising finfish--are classified in U.S. Industry 112511, Finfish Farming and Fish Hatcheries; and"
114111,"Gathering and processing (known as ""floating factory ships"") seafood into canned seafood products--are classified in Industry 311710, Seafood Product Preparation and Packaging."
114112,"Establishments primarily engaged in farm raising shellfish are classified in U.S. Industry 112512, Shellfish Farming."
114119,"Animal or plant aquaculture (except finfish and shellfish)--are classified in U.S. Industry 112519, Other Aquaculture;"
114119,"The commercial catching or taking of finfish from their natural habitat--are classified in U.S. Industry 114111, Finfish Fishing; and"
114119,"The commercial catching or taking of shellfish from their natural habitat--are classified in U.S. Industry 114112, Shellfish Fishing."
114210,"Operating nature preserves--are classified in Industry 712190, Nature Parks and Other Similar Institutions; and"
114210,"Farm raising rabbits and other fur-bearing animals--are classified in Industry 112930, Fur-Bearing Animal and Rabbit Production."
11511,"Performing crop production that are generally known as farms, orchards, groves, or vineyards (including tenant farms)--are classified in the appropriate crop industry within Subsector 111, Crop Production;"
11511,"Providing support activities for forestry--are classified in Industry 11531, Support Activities for Forestry;"
11511,"Landscaping and horticultural services, such as lawn and maintenance care and ornamental shrub and tree services--are classified in Industry 56173, Landscaping Services;"
11511,"Land clearing, land leveling, and earth moving for terracing, ponds, and irrigation--are classified in Industry 23891, Site Preparation Contractors;"
11511,"Artificially drying and dehydrating fruits and vegetables--are classified in Industry 31142, Fruit and Vegetable Canning, Pickling, and Drying;"
11511,"Stemming and redrying tobacco--are classified in Industry 31223, Tobacco Manufacturing;"
11511,"Providing water for irrigation--are classified in Industry 22131, Water Supply and Irrigation Systems; and"
11511,"Buying farm products, such as fruits or vegetables, for resale to other wholesalers or retailers, and preparing them for market or further processing--are classified in Industry 42448, Fresh Fruit and Vegetable Merchant Wholesalers."
115112,"Mulching and seeding burned forests from the air in support of reforestation or on an emergency basis--are classified in Industry 115310, Support Activities for Forestry;"
115112,"Land clearing, land leveling, and earth moving for terracing, ponds, and irrigation--are classified in Industry 238910, Site Preparation Contractors; and"
115112,"Providing water for irrigation--are classified in Industry 221310, Water Supply and Irrigation Systems."
115113,"Providing personnel for manual harvesting--are classified in U.S. Industry 115115, Farm Labor Contractors and Crew Leaders; and"
115113,"Providing farm management services (i.e., on a contract or fee basis) and arranging or contracting crop mechanical or manual harvesting operations for the farm(s) they manage--are classified in U.S. Industry 115116, Farm Management Services."
115114,"Ginning cotton--are classified in U.S. Industry 115111, Cotton Ginning; "
115114,"Custom grain grinding for animal feed--are classified in U.S. Industry 311119, Other Animal Food Manufacturing;"
115114,"Artificially drying and dehydrating fruits and vegetables--are classified in U.S. Industry 311423, Dried and Dehydrated Food Manufacturing;"
115114,"Stemming and redrying tobacco--are classified in Industry 312230, Tobacco Manufacturing;"
115114,"Buying farm products for resale to other wholesalers or retailers and preparing them for market or further processing--are classified in Industry 424480, Fresh Fruit and Vegetable Merchant Wholesalers; and"
115114,"Providing farm management services (i.e., on a contract or fee basis) and arranging or contracting postharvesting crop activities for the farm(s) they manage--are classified in U.S. Industry 115116, Farm Management Services."
115115,"Providing machine harvesting--are classified in U.S. Industry 115113, Crop Harvesting, Primarily by Machine; and"
115115,"Providing farm management services (i.e., on a contract or fee basis) and arranging or contracting farm labor for the farm(s) they manage--are classified in U.S. Industry 115116, Farm Management Services."
115116,"Establishments primarily engaged in crop production that are generally known as farms, orchards, groves, or vineyards (including tenant farms), are classified in the appropriate crop industry within Subsector 111, Crop Production."
115210,"Establishments primarily engaged in raising companion animals (e.g., cats, dogs, pet birds) for sale are classified in Industry 112990, All Other Animal Production."
115310,"Public administration and conservation of forest lands--are classified in Industry 924120, Administration of Conservation Programs; and"
115310,Individual activities as part of a restoration project--are classified according to the primary activity.
211120,"Performing oil field services for operators on a contract or fee basis--are classified in Industry 21311, Support Activities for Mining; and"
211120,"Refining crude petroleum into refined petroleum and liquid hydrocarbons--are classified in Industry 324110, Petroleum Refineries."
211130,"Performing gas field services for operators on a contract or fee basis--are classified in Industry 21311, Support Activities for Mining;"
211130,"Manufacturing acyclic and cyclic hydrocarbons from refined petroleum or converting refined petroleum into liquid hydrocarbons (i.e., petrochemicals)--are classified in Industry 325110, Petrochemical Manufacturing;"
211130,"Refining crude petroleum into refined petroleum and liquid hydrocarbons--are classified in Industry 324110, Petroleum Refineries; and"
211130,"Recovering helium from natural gas--are classified in Industry 325120, Industrial Gas Manufacturing."
21211,"Manufacturing coke oven products in coke oven establishments--are classified in Industry 32419, Other Petroleum and Coal Products Manufacturing; and"
21211,"Manufacturing coal products in steel mills--are classified in Industry 33111, Iron and Steel Mills and Ferroalloy Manufacturing."
212111,"Manufacturing coke oven products in coke oven establishments--are classified in U.S. Industry 324199, All Other Petroleum and Coal Products Manufacturing;"
212111,"Underground mining of bituminous coal--are classified in U.S. Industry 212112, Bituminous Coal Underground Mining; and"
212111,"Mining and/or beneficiating anthracite coal--are classified in U.S. Industry 212113, Anthracite Mining."
212112,"Manufacturing coke oven products in coke oven establishments--are classified in U.S. Industry 324199, All Other Petroleum and Coal Products Manufacturing;"
212112,"Surface mining and/or beneficiating of bituminous coal or lignite--are classified in U.S. Industry 212111, Bituminous Coal and Lignite Surface Mining; and"
212112,"Mining and/or beneficiating anthracite coal--are classified in U.S. Industry 212113, Anthracite Mining."
212113,"Manufacturing coke oven products in coke oven establishments--are classified in U.S. Industry 324199, All Other Petroleum and Coal Products Manufacturing;"
212113,"Surface mining and/or beneficiating bituminous coal or lignite--are classified in U.S. Industry 212111, Bituminous Coal and Lignite Surface Mining; and"
212113,"Underground mining of bituminous coal--are classified in U.S. Industry 212112, Bituminous Coal Underground Mining."
212210,"Establishments primarily engaged in manufacturing pig iron ore are classified in Industry 331110, Iron and Steel Mills and Ferroalloy Manufacturing."
21222,"Establishments primarily engaged in manufacturing gold or silver bullion or dore bar without mining are classified in Industry 33141, Nonferrous Metal (except Aluminum) Smelting and Refining."
212221,"Establishments primarily engaged in manufacturing gold bullion or dore bar without mining are classified in Industry 331410, Nonferrous Metal (except Aluminum) Smelting and Refining."
212222,"Establishments primarily engaged in manufacturing silver bullion or dore bar without mining are classified in Industry 331410, Nonferrous Metal (except Aluminum) Smelting and Refining."
212230,"Refining copper concentrates--are classified in Industry 331410, Nonferrous Metal (except Aluminum) Smelting and Refining; and"
212230,"Developing the mine site, mining, and/or beneficiating iron and manganiferous ores valued for their iron content--are classified in Industry 212210, Iron Ore Mining."
21229,"Developing the mine site, mining, and/or beneficiating iron and manganiferous ores valued chiefly for their iron content--are classified in Industry 21221, Iron Ore Mining;"
21229,"Developing the mine site, mining, and/or beneficiating ores valued chiefly for their gold or silver content--are classified in Industry 21222, Gold Ore and Silver Ore Mining;"
21229,"Developing the mine site, mining, and/or beneficiating ores valued chiefly for their copper, nickel, lead, or zinc content--are classified in Industry 21223, Copper, Nickel, Lead, and Zinc Mining; and"
21229,"Enriching uranium--are classified in Industry 32518, Other Basic Inorganic Chemical Manufacturing."
212291,"Establishments primarily engaged in enriching uranium are classified in Industry 325180, Other Basic Inorganic Chemical Manufacturing."
212299,"Developing the mine site, mining, and/or beneficiating iron and manganiferous ores valued for their iron content--are classified in Industry 212210, Iron Ore Mining;"
212299,"Developing the mine site, mining, and/or beneficiating ores valued chiefly for their gold or silver content--are classified in Industry 21222, Gold Ore and Silver Ore Mining;"
212299,"Developing the mine site, mining, and/or beneficiating ores valued chiefly for their copper, nickel, lead, or zinc content--are classified in Industry 212230, Copper, Nickel, Lead, and Zinc Mining; and"
212299,"Developing the mine site, mining, and/or beneficiating uranium-radium-vanadium ores--are classified in U.S. Industry 212291, Uranium-Radium-Vanadium Ore Mining."
21231,"Producing lime--are classified in Industry 32741, Lime Manufacturing; and"
21231,"Quarrying and dressing dimension stone--are classified in Industry 32799, All Other Nonmetallic Mineral Product Manufacturing."
212311,"Establishments primarily engaged in dressing dimension stone and manufacturing stone products are classified in U.S. Industry 327991, Cut Stone and Stone Product Manufacturing."
212312,"Producing lime--are classified in Industry 327410, Lime Manufacturing; and"
212312,"Mining or quarrying bituminous limestone--are classified in U.S. Industry 212319, Other Crushed and Broken Stone Mining and Quarrying."
212319,"Mining or quarrying crushed and broken limestone--are classified in U.S. Industry 212312, Crushed and Broken Limestone Mining and Quarrying; and"
212319,"Mining or quarrying crushed and broken granite--are classified in U.S. Industry 212313, Crushed and Broken Granite Mining and Quarrying."
21232,"Calcining, dead burning, or otherwise processing (i.e., beyond basic preparation) clay or refractory minerals--are classified in Industry 32799, All Other Nonmetallic Mineral Product Manufacturing;"
21232,"Shaping, molding, baking, burning, or hardening nonclay ceramics, clay and nonclay refractories, and structural clay products--are classified in Industry 32712, Clay Building Material and Refractories Manufacturing; and"
21232,"Shaping, molding, glazing, and firing pottery, ceramics, and plumbing fixtures--are classified in Industry 32711, Pottery, Ceramics, and Plumbing Fixture Manufacturing."
212321,"Establishments primarily engaged in mining industrial grade sand are classified in U.S. Industry 212322, Industrial Sand Mining."
212322,"Establishments primarily engaged in mining commercial (i.e., construction) grade gravel are classified in U.S. Industry 212321, Construction Sand and Gravel Mining."
212324,"Establishments primarily engaged in calcining, dead burning, or otherwise processing (i.e., beyond basic preparation) kaolin and ball clay are classified in U.S. Industry 327992, Ground or Treated Mineral and Earth Manufacturing."
212325,"Shaping, molding, baking, burning, or hardening clay and nonclay refractories, and structural clay products--are classified in Industry 327120, Clay Building Material and Refractories Manufacturing;"
212325,"Developing the mine site, mining, and/or beneficiating kaolin or ball clay--are classified in U.S. Industry 212324, Kaolin and Ball Clay Mining; and"
212325,"Shaping, molding, glazing, and firing pottery, ceramics, and plumbing fixtures--are classified in Industry 327110, Pottery, Ceramics, and Plumbing Fixture Manufacturing."
21239,"Mining or quarrying dimension stone--are classified in Industry 21231, Stone Mining and Quarrying;"
21239,"Mining or quarrying sand, gravel, clay, and ceramic and refractory minerals--are classified in Industry 21232, Sand, Gravel, Clay, and Ceramic and Refractory Minerals Mining and Quarrying;"
21239,"Calcining, dead burning, or otherwise processing (i.e., beyond basic preparation) minerals, such as talc, mica, feldspar, barite, and soapstone--are classified in Industry 32799, All Other Nonmetallic Mineral Product Manufacturing;"
21239,"Manufacturing boron compounds and potassium salts--are classified in Industry 32518, Other Basic Inorganic Chemical Manufacturing;"
21239,"Manufacturing table salt--are classified in Industry 31194, Seasoning and Dressing Manufacturing;"
21239,"Manufacturing salt (except table salt)--are classified in Industry 32599, All Other Chemical Product and Preparation Manufacturing; and"
21239,"Manufacturing phosphoric acid, superphosphates, or other phosphatic fertilizer materials--are classified in Industry 32531, Fertilizer Manufacturing."
212391,"Manufacturing sodium carbonate, boron compounds, and/or potassium salts--are classified in Industry 325180, Other Basic Inorganic Chemical Manufacturing; and"
212391,"Manufacturing table salt--are classified in U.S. Industry 311942, Spice and Extract Manufacturing."
212392,"Establishments primarily engaged in manufacturing phosphoric acid, superphosphates, or other phosphatic fertilizer materials are classified in U.S. Industry 325312, Phosphatic Fertilizer Manufacturing."
212393,"Mining and/or milling or otherwise beneficiating natural potassium, sodium, or boron compounds--are classified in U.S. Industry 212391, Potash, Soda, and Borate Mineral Mining;"
212393,"Manufacturing industrial salt--are classified in U.S. Industry 325998, All Other Miscellaneous Chemical Product and Preparation Manufacturing;"
212393,"Mining, milling, drying, and/or sintering or otherwise beneficiating phosphate rock--are classified in U.S. Industry 212392, Phosphate Rock Mining; and"
212393,"Manufacturing table salt--are classified in U.S. Industry 311942, Spice and Extract Manufacturing."
212399,"Mining or quarrying stone--are classified in Industry 21231, Stone Mining and Quarrying;"
212399,"Mining, quarrying, or beneficiating sand, gravel, clay, and ceramic and refractory minerals--are classified in Industry 21232, Sand, Gravel, Clay, and Ceramic and Refractory Minerals Mining and Quarrying;"
212399,"Mining, quarrying, or beneficiating natural potash, soda, and borate--are classified in U.S. Industry 212391, Potash, Soda, and Borate Mineral Mining; and"
212399,"Mining and/or milling or otherwise beneficiating phosphate rock--are classified in U.S. Industry 212392, Phosphate Rock Mining."
21311,"Performing geophysical surveying and mapping services for minerals (i.e., coal, metal ores, oil and gas, and nonmetallic minerals) on a contract or fee basis--are classified in Industry 54136, Geophysical Surveying and Mapping Services;"
21311,"Mining, quarrying, and/or beneficiating on a contract or fee basis--are classified in Subsector 212, Mining (except Oil and Gas), based on the mineral mined;"
21311,"Operating oil and gas field properties on a contract or fee basis--are classified in Subsector 211, Oil and Gas Extraction, based on the activity;"
21311,"Oil and gas pipeline and related structures construction and repair--are classified in Industry 23712, Oil and Gas Pipeline and Related Structures Construction;"
21311,"Site preparation and related construction activities on a contract or fee basis--are classified in Industry 23891, Site Preparation Contractors; and"
21311,"Mining machinery and equipment repair and maintenance--are classified in Industry 81131, Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance."
213111,"Performing exploration (except geophysical surveying and mapping) services for oil and gas on a contract or fee basis--are classified in U.S. Industry 213112, Support Activities for Oil and Gas Operations; and"
213111,"Performing geophysical surveying and mapping services for oil and gas on a contract or fee basis--are classified in Industry 541360, Geophysical Surveying and Mapping Services."
213112,"Contract drilling for oil and gas--are classified in U.S. Industry 213111, Drilling Oil and Gas Wells;"
213112,"Operating oil and gas field properties on a contract or fee basis--are classified in Industry Group 2111, Oil and Gas Extraction;"
213112,"Performing geophysical surveying and mapping services for oil and gas on a contract or fee basis--are classified in Industry 541360, Geophysical Surveying and Mapping Services;"
213112,"Oil and gas pipeline and related structures construction and repair--are classified in Industry 237120, Oil and Gas Pipeline and Related Structures Construction;"
213112,"Inspecting pipelines--are classified in Industry 541990, All Other Professional, Scientific, and Technical Services;"
213112,"Site preparation and related construction activities on a contract or fee basis--are classified in Industry 238910, Site Preparation Contractors; and"
